industry_sk,industry_name,industry_group,vulnerability_band,risk_profile,logistics_sensitivity,is_pandemic_sensitive,geopolitical_risk,tariff_impact,overall_vulnerability,resilience_level,supply_chain_dependency,disruption_exposure_level,nearshoring_readiness,strategic_industry_flag,operational_risk_driver,supplier_concentration
1,Semiconductors,Technology,High,Critical,Standard,1,10.0,8.8,7.72,Fragile,Moderate Dependency,Severe Exposure,Globalized Dependency,1,Geopolitical,0.386
2,Automotive,Manufacturing,High,Critical,Extreme,1,6.5,7.4,7.94,Fragile,High Dependency,Elevated Exposure,Transition Candidate,1,Logistics,0.21
3,Consumer Electronics,Technology,High,Critical,Extreme,1,8.1,8.6,7.21,Sensitive,High Dependency,Elevated Exposure,Globalized Dependency,0,Geopolitical,0.35
4,Pharma & Medical,Healthcare,Medium,High,Standard,1,5.9,5.0,6.13,Sensitive,Low Dependency,Controlled Exposure,Globalized Dependency,1,Logistics,0.218
5,Aerospace & Defense,Industrial,Medium,High,Standard,0,9.4,6.8,6.7,Sensitive,Low Dependency,Elevated Exposure,Globalized Dependency,1,Geopolitical,0.338
6,Retail & Apparel,Consumer Goods,Medium,High,Extreme,1,4.9,7.3,5.86,Resilient,Low Dependency,Controlled Exposure,Globalized Dependency,0,Logistics,0.17
7,Food & Agriculture,Other Services,Medium,High,Standard,0,7.5,5.5,6.46,Sensitive,Low Dependency,Elevated Exposure,Globalized Dependency,0,Geopolitical,0.114
8,Energy & Chemicals,Energy,Medium,High,Extreme,0,9.2,6.5,6.86,Sensitive,Low Dependency,Elevated Exposure,Globalized Dependency,1,Energy,0.204
9,Industrial Machinery,Manufacturing,Medium,High,Standard,1,5.7,6.8,5.92,Resilient,Low Dependency,Controlled Exposure,Globalized Dependency,0,Logistics,0.183
10,Luxury Goods,Other Services,Medium,High,Standard,1,3.7,5.5,4.19,Resilient,Low Dependency,Controlled Exposure,Globalized Dependency,0,Logistics,0.331
